text,label,notes
The space that Germany had on the second goal when the game is still in doubt was astounding. Kroos is given acres of time at the top of the box when Fernandinho misses the interception and Dante doesn't close him down. Marcelo tracks Müller but never gets closer than 3 yards. Maicon is caught ball watching and fails to put a body on Klose.,analysis,
"Scolari chose Bernard rather than Ramires to replace Neymar — this clearly showed he was going all or nothing, choosing a pacey out-and-out winger to attack rather than someone more defensive who might have helped contain that packed, technical German midfield.",analysis,
Brazil's whole plan in attack was to get the ball to Neymar. With him gone the attack had to find chemistry and understanding that they weren't forced to have before. David Luiz needs to constantly be told where to be or else he ends up ball-chasing around the entire pitch. You lose Thiago Silva and suddenly Luiz is the one organizing the defense.,analysis,
"Fernandinho was involved in all 4 of the opening goals. Where Brazil fell apart was in the triangle Dante-Luiz-Fernandinho. Luiz did not step up to be the leader he needed to be, Fernandinho kept making bad decisions, and Dante stood there wondering what Luiz and Fernandinho were doing.",analysis,
"Marcelo was way too far down his flank on the second goal — he needs to be much higher up making sure the pass goes into the box. Luiz, Dante and Maicon are way too far down in their own box. Maicon does some real lazy defending, pushes off Klose and doesn't close him down.",analysis,
"Brazil played attacking football with a lot of overlapping from wingbacks and committed a lot of players to attack. That works if you can retrieve very quickly when you lose it — good high pressing is almost a necessity. Their pressing was terrible, almost nonexistent, and therefore they were very exposed on counterattacks.",analysis,
"Worst thing to happen to Brazil was winning the Confederations Cup last year. Felipão and players got confident — guys like Robinho and Luis Fabiano were not pushing for a place, and guys like Dani Alves and Fred were barely playing anything the last twelve months because they were already picked.",analysis,
Lucas Moura's omission from the team was the real headscratcher — he's the closest resemblance to Neymar Brazil have. With him in the side they could have plugged and played their normal style. I was also baffled why Willian was left on the bench in favor of Bernard.,analysis,
David Luiz has played very well for Chelsea as a defensive midfielder through making strong tackles in front of the defense and moving forward when he finds space. Brazil hasn't even explored this option in the countless friendlies leading up to the tournament. There seemed to be no Plan B.,analysis,
Gustavo and Fernandinho did an awful job by pressing the opposition together and creating huge space for Germany to abuse. Brazil were terribly organized and Germany did their homework exceptionally well.,analysis,
I think people are underestimating just how bad David Luiz was out there. Totally out of position so many times.,hot_take,
"Brazil was never that good. They cruised through an easy group, lucked out in a couple of games and ran into a powerhouse.",hot_take,
Brazil do not have 11 world class players. They had two who weren't even on the pitch last night in Thiago Silva and Neymar. Who out of Brazil's starting XI last night would get into Germany's? I'd say none.,hot_take,
"Scolari did a bad job. Brazil was the only country in the WC that played without a real system. You could see that in the games vs Mexico, Chile and Croatia.",hot_take,
"That tactic would work if Brazil had Neymar. He doesn't only attack well, he actually organizes the midfield. What Felipão should have done without him is put the players into a very defensive position and hold the game until a penalty shootout.",hot_take,Border case gestures at tactical logic but no evidence; claim asserted not argued
David Luiz is not a central defender in a million years. Defensive midfielder would be more suited to him.,hot_take,
"They looked like a knight who lost their sword (Neymar) and shield (Silva), but still marched into battle all the same.",hot_take,
Fred being useless didn't help either. Successful attacks towards the German side of the pitch basically never involved him.,hot_take,Border case observational but stated without verifiable stats; labeled hot_take
I don't see enough people blaming the coach. After the second goal he should have made some dramatic change and he didn't.,hot_take,
Hindsight is 20/20 but David Luiz should not have been captain. He plays well when he has Thiago Silva working with him. But when he tries to be the captain he doesn't do a very good job of organizing.,hot_take,
"A simple comparison would be that they lack a Xavi and/or Iniesta and as a result rely on players such as Luiz Gustavo, Fernandinho and Paulinho who have very limited skill sets at the highest level.",hot_take,
"Holding his shirt up during the national anthem, all those people with Neymar masks — the team were essentially made less important than an individual that wasn't even playing. What kind of message did it send to the players?",hot_take,
Fred cried on the fucking field in the 35th minute of the game. Who does that?,reaction,
"It was a harsh night for the Brazilian team, but they should have never been favorites in the first place.",reaction,
"It sucks for Dante. After a breakout performance these past few seasons he can finally play for Brasil, and on his first World Cup appearance he's on the Seleção's starting XI of their worst defeat ever.",reaction,
"Could have been 10-0, 11-0 or even 15-0 if the Germans didn't slow down.",reaction,
In very few words: emotio < ratio,reaction,
cooler heads prevailed. The pressure made them implode.,reaction,
"Well, if people are protesting so intensely with this match, I don't want to know what will happen if Argentina wins the cup...",reaction,
After Messi yesterday there was never a chance in hell Ronaldo would be even the slightest bit unselfish,reaction,
Henry straight up called him selfish in front of the world is epic....,reaction,
Ronaldo tarnishing his legacy by trying to stat pad.,reaction,
Ronaldo WC 2030. Here we go!,reaction,
It's in Portugal no doubt in my mind he will be there,reaction,
He's starting and you know it,reaction,
I can't believe they chose Martinez to manage this calibre of players,reaction,
"Everytime they got remotely close to the box he lifted his arm and ran towards goal even if he was in a bad position. Like, bro chill",reaction,
"At one point, he was shouting 'Bruno! Bruno!' so loud that you could hear him on the broadcast. Bro was desperate lol",reaction,
We were shit today. Slow on the ball. No movement off it. Lethargic in defense. We lacked any sort of competitive edge. We had no urgency for anything. Just embarrassing.,reaction,
Biggest surprise of the tourney so far is how great Zlatan is as a talking head.,reaction,
Reminder to everyone that the only reason FIFA did this was so Saudi Arabia's bid couldn't get competition.,reaction,
"Yup, as corrupt as it gets. Couldn't be more blatant.",reaction,
"Honestly the moment Messi scored his third, Martinez should have dropped Ronaldo from his projected starting XI.",hot_take,
"Portugal would be such a serious, serious contender with squad player Ronaldo under a good manager. Instead they've got the chap who swore he'd get Everton into the champions league and has fallen upwards ever since.",hot_take,
"He probably works better as a supersub at this point in his career, but he was the least of their problems today. They generated absolutely nothing.",hot_take,
He'll go the Neymar way. Professional bench warmer.,hot_take,
He has the complete opposite mentality of Neymar. He'll start every single game and still take pens and free kicks.,hot_take,
"Bro will do it just to one up Messi, absolute rent free",hot_take,
He's for sure going to be there since it's partially hosted in Portugal. Also something Ronaldo would totally do is want to play in one more world cup than Messi so he'll hold the record for consecutive world cup appearances alone.,hot_take,
Zlatan may be arrogant but he was never selfish. He had no problem making a pass to a better placed teammate and loved getting an assist.,hot_take,
"No, Zlatan accepted the super sub role when he returned to Milan in his 40s and led them to a scudetto. He even admitted his body couldn't handle regular full 90 mins anymore. Zlatan's arrogant but not delusional.",hot_take,
Ronaldo can be dogshit a lot of the time but the team was just awful. Singling him out when the midfield was beyond clueless is strange. People want to blame the manager or Ronaldo but it seems they're scared to call out the 3 midfielders.,hot_take,
The FA should not have hired Roberto Martinez. I still can't fathom how any remotely serious international team would appoint him after he squandered that Belgium team.,hot_take,
Martinez was too chickenshit to drop Ronaldo 42 months ago. What chance does he have now.,hot_take,
"His influence in the dressing room is what boosted that Milan team to the title. He is a huge personality but unlike Ronaldo, he is likeable, probably because he doesn't take himself as seriously.",hot_take,
"I'm not even sure it's the midfield. They had the ball in midfield so often and at the edge of the box and there were hardly any threatening runs from deep or angled runs behind. It looked exactly like against Morocco in 2022, just stagnant movement. The midfield needs runners to feed and they just wouldn't move.",analysis,
"Bruno, Silva, Ronaldo, Leao all want to play behind the center striker. Add Felix to that list. There is no width in this team. If everybody is playing centrally, there is no width.",analysis,
"Jorge Mendes is a super agent. Ronaldo, his client, made Jorge Mendes the super agent he is today. Jorge Mendes has clients to move on transfer fees. Roberto Martinez, his client, is a yes man who will do as Jorge Mendes says.",analysis,Border case structured argument but unverifiable claim; labeled analysis because the logic chain is explicit and supported by known facts about agent relationships
Zlatan had just said Ronaldo should have made a near post run to draw off the defender and distract the goalkeeper.,analysis,
People mistake Zlatan the player for his off the field personality which he plays for jokes. Even his style of play is completely different. He is a creative 9 in his younger days who had to be coached to be more clinical.,analysis,
"Go watch Korea against Czechia — they're constantly making short runs behind and from midfield, so much fluid movement. Portugal should take some notes, because they have the talent and pace, and the playmakers to give those balls.",analysis,
"Pedro Neto refused to take anyone on, kept passing back. Nuno Mendes looked like he couldn't care less. Bruno and Vitinha were doing little one twos with no one around them. Players were isolated when in possession, especially on the right side, until Conceição came on.",analysis,
The so called 'best midfield' of the tournament couldn't create a single chance. Bruno Fernandes didn't create a pass that led to a chance until the 92nd minute.,analysis,
That is rough lmao,reaction,
"Yeah, I didn't know AOL still existed.",reaction,
the ignominy of AOL calling you washed,reaction,
As an Everton fan I have no idea how Roberto Martinez managed to get both the Belgium and Portugal jobs...,reaction,
"How the fuck has Roberto Martinez been given the opportunity to ruin not one, but two golden generations?",reaction,
"Yesterday was definitely not Ronaldo's fault, but that doesn't sell papers I guess... It was a tactical disasterclass.",reaction,
"Bashing Ronaldo, so hot right now.",reaction,
"As always, it's 100% Ronaldo's fault and no one else's.",reaction,
I was at the game and saw Ronaldo and others try and make runs behind the Congo line and no one ever tried to play the ball in behind.,reaction,
"This is gonna keep going until he scores next match and everyone suddenly forgets all about it. Yeah, he wasn't good yesterday, but neither were a lot of the others. The whole team looks off it right now.",reaction,
He's shit and all but it's Martinez sacrificing it by playing without a midfield when he has the best midfield in the world at his disposal.,hot_take,
"CR7 is washed and should start from the bench, but it's not like Portugal are guaranteed champions without him.",hot_take,
Ronaldo's name in the headline generates way more clicks and engagement. An article about Portugal's apathetic midfield performance probably wouldn't even get posted.,hot_take,
"Man, you'd imagine every other Portuguese player gave a ten from ten performance the way journos are scapegoating Ronaldo.",hot_take,
"They need a better manager. They have the best midfield at the tournament, but because of the stupid tactics Bruno is permanently forced to the LW, Neves is forced to the RW, and Vitinha spends half the time between the centre backs.",hot_take,
"Martinez should just be sacked after this game honestly. Even if it fucks our world cup, the way we played I can't see us getting better with him — the team seems completely demoralized and there's no concrete structure.",hot_take,
They could have had prime R9 upfront and still wouldn't have scored. DRC put in an insane defensive display and Portugal just couldn't get the ball past them.,hot_take,
Losing to France 1-0 in the semi finals is not a bottle job. That France team was probably even more stacked.,hot_take,
"Bottled is a bit of a stretch. They got 3rd place in 2018 under him, that's really not bad for a small nation. The players you listed were excellent, but there wasn't exactly great depth beyond them.",hot_take,
"Finishing 3rd at a world cup is 'bottling it'? Even for the tournament favourites, which Belgium were not, that would generally be regarded as a decent finish.",hot_take,
Same reasons Neymar is in the Brazil squad and Endrick can barely get a look in the starting 11. Politics from corrupt FAs getting in the way of some good football.,hot_take,
A lot of people just equal Portugal bad to Ronaldo bad and that's the extent their mind can comprehend the game.,hot_take,
"Even Ronaldo's biggest weapon remains his aerial ability. Portugal literally sent in like two crosses yesterday, and they have people who could qualify as some of the best when it comes to crossing.",hot_take,
"They're genuinely playing with 10 men with him up there — he can't make runs, he can't press, he can't pull away defenders to create space for his teammates, he can't dribble, he can't create chances with his passes. And on top of all that he's playing 90 minutes so he can reach 1000 career goals.",analysis,
Ronaldo was having mediocre performances at CF just like now and then they replaced him with Goncalo Ramos in one knockout game and he scored a hat trick. Ramos started 2 qualifiers ahead of him and they scored 15 goals.,analysis,
"There was a moment Ronaldo dribbles the ball nearly to the 6 yard box, passed to Bruno at the top of the 18 and instead of keeping the pressure he decided to recycle possession back to the halfway line. I was at the game and saw Ronaldo and others try to make runs behind the Congo line and no one ever tried to play the ball in behind.",analysis,
"They had 2 shots at half time, 9 at the end. You could put any striker there and no amount of sideways passes would get the ball to him. First we should worry about why there are barely any forward passes with a midfield of Bruno, Vitinha, and Neves.",analysis,
I've been saying it since the Euros — Ronaldo should be a sub who comes on when defenders are winded. He's still capable of incredible things but can't get separation to execute against fresh legs. The quality of defensive tactics he's facing here is FAR higher than what he faced in Saudi Arabia.,analysis,
They should deploy him exactly like they did against Morocco at the last World Cup. He came on with 30 minutes left when they were chasing and was easily the most dangerous player on the pitch after Portugal had produced nothing before.,analysis,
You have a team with a 9 who thrives on headers and second balls and we spend the whole game afraid to whip crosses in. Ronaldo thrives on chaos — we got played by Congo into playing into their strengths. This game was lost tactically.,analysis,
"Vitinha, Neves and Bruno had acres of space between each other with no width and no threat in behind. Bernardo, Bruno and Vitinha played like cowards. You could've removed Ronaldo in the 10th minute and placed anyone else upfront, they still wouldn't score.",analysis,
Plenty of other managers in this World Cup have gotten their teams to play positive football with weaker midfields. We had 80% possession with 1 shot on goal for most of the game — that's stupid tactics.,analysis,
"Belgium were the second best team in 2018, really the semi against France ought to have been the final. Hazard was done at the top level by the Euros, and the generation as a whole was past their prime by 2022.",analysis,
"Objectively, Belgium had a great result at the 2018 World Cup. They beat tournament favorites Brazil and got knocked out by champions France in the semis. Beat England twice that tournament as well.",analysis,
"Second half the cross was coming in with Bruno behind Ronaldo and open. All he had to do was make a run in the box to drag a defender with him and open space for Bruno, but he camps right there for the ball allowing 3 defenders to stand in front of them. Then skies it wide with Bruno frustrated behind him.",analysis,
"Understanding the defensive side of the game is incredibly hard. There are no nice statistics around it — nobody can yet quantify how positioning stopped an opportunity being created 15 seconds later, or drove the attacking side into making decisions that blocked a goalscoring chance. You would end up analysing counterfactuals with tens of different what-ifs every second back you analyse.",analysis,
"There is a reason the highest paid positions in both NFL and football are the more attacking positions — their contributions are most easily analysed and have numbers put on them. It's easiest for fans to understand they scored the goal. A great goalkeeper may have no saves but still have made a huge impact in stopping multiple goals through denying the shot chance, but there is no nice way to quantify this yet.",analysis,
"Van der Sar went from being named top goalkeeper in Europe after winning the CL with Ajax, to utter shambles playing for Juve. He was out to sea playing behind a deep, very Italian defensive line — he couldn't read the game how he normally did playing with such a high line at Ajax. Wasn't until Fergie got his hands on him, 6 years after leaving Ajax, that his quality was brought out once again.",analysis,
"The Jabulani's unpredictability was from not having enough drag — it was too smooth. When kicked it did not experience a lot of drag so the typical Magnus effect would not take place. With little spin it was not stabilising in an expected curve, opening it up to very random movement when it slowed down during its flight and experienced more drag.",analysis,
"The Trionda and Jabulani were both based on tetrahedrons — most balls are based on icosahedrons — leading to more roundness. The Jabulani's unpredictability was from too much drag, so they put divots on the Trionda to reduce it.",analysis,"Border case first sentence is factually wrong (Jabulani had too little drag per other comment), but structured technical argument; labeled analysis on form"
"The Trionda was released last October. Chances are they at least played with the same mold of ball during international windows and friendlies — in Spain, the Copa del Rey final was played with that most recent design. Unless the balls were completely flawed in production, they're not going to change the cup model, so why not do your homework.",analysis,
"Played keeper at the college level. All three of these made me scratch my head when I saw them live. Good positioning, well timed save attempt, hands on the ball, shot placement isn't great — these are damn near routine saves. World class keepers know the pace of the ball off the foot intuitively and these types of shots just don't sneak up on you. It has to be the ball.",analysis,
I bought one and have hit a good few hundred shots with it. The thing moves and bends all over the place. The corners have been spectacular but some wingers do seem to be struggling with longer crosses curving too much.,analysis,
"Played as a keeper to a fairly decent level. He gets his hand to it well in time on the Pickford save — it looked so odd because that's a textbook save any keeper should make. People who haven't played football, especially in goal, have the oddest perception of what's par for the course for keepers versus what's exceptional.",analysis,
"In the NFL, cornerbacks and D-line are among the highest paid positions now because outsize talent in those areas really changes how a defense has to give space. RBs are not paid well anymore because the drop off from great to good isn't that much — most of the value of a run is from great blocking.",analysis,
"xG started as simple as more shots = more goals, then started taking into account positions on the pitch. Then it moved to taking into account context — counterattack, slow developed play, positions of defenders. Now it is starting to take into account the key players, so Haaland from the exact same position will have a higher xG than someone who can't kick a ball reliably.",analysis,
"The defense in front of a keeper changes what's required of them, and in turn changes how well they perform. The keepers who went from godly to garbage and vice versa seemingly overnight is the best illustration — Van der Sar is the best example.",analysis,
"This is why ex-keepers on comms are underrated. A slow-mo freeze frame makes every shot look saveable — someone who can talk through the flight, body shape and footwork is much more useful than just saying 'should do better there'.",analysis,
Its relevant to have the ball debate at every World Cup because these balls aren't used before the tournament and you really only have a few games to judge. The Trionda's tetrahedron panel shape makes it swerve and respond to drag in ways icosahedron-based balls don't.,analysis,
"Hart is a consummate professional when it comes to goalkeeping analysis — it's a brilliant mix of relevant knowledge that comes with top level experience and active thought from an outside perspective. The best punditry comes from this kind of position-specific analysis, because no one person can perfectly break down a whole game when they can't have top level experience in every position.",analysis,
"Hart's analysis on keeping is first rate, as is Michael Owen's about strikers and finishing. In Owen's case, it's when he analyses other aspects of the game that's the problem.",hot_take,
"Hart is fucking unreal when it comes to goalkeeping analysis. Instead we get Carragher, Neville and Keane spouting off shit for hot takes.",hot_take,
Jabulani vibes,reaction,
"Those jabulani balls really did have minds of their own, they were mental",reaction,
I've seen enough. Welcome back Jabulani,reaction,
